Symbol	RAPdb	MSU	path
Bc6|OsCesA9	Os09g0422500	LOC_Os09g25490	data/Gene/Abstract/OS/C/OsCesA9
BEI|SBE1	Os06g0726400	LOC_Os06g51084	data/Gene/Abstract/S/SBE1
bel|CYP81A6|bsl	Os03g0760200|Os03g0760100	LOC_Os03g55240	data/Gene/Abstract/B/bel~CYP81A6~bsl
BET1	Os04g0477300	LOC_Os04g40140	data/Gene/Abstract/B/BET1
beta-OsLCY	Os02g0190600	LOC_Os02g09750	data/Gene/Abstract/0-9/beta-OsLCY
BG1	Os03g0175800	LOC_Os03g07920	data/Gene/Abstract/B/BG1
BG3	Os01g0680200	LOC_Os01g48800	data/Gene/Abstract/B/BG3
Bh4	Os04g0460000	LOC_Os04g38660	data/Gene/Abstract/B/Bh4
BLEC-Str8	Os04g0110100	LOC_Os04g01950	data/Gene/Abstract/B/BLEC-Str8
BLS1|BSG1|OsG1L6|TH1|AFD1	Os02g0811000	LOC_Os02g56610	data/Gene/Abstract/B/BSG1
BOR2	Os01g0175600	LOC_Os01g08020	data/Gene/Body/B/BOR2
Bph14	Os03g0848700	LOC_Os03g63150	data/Gene/Abstract/B/Bph14
BPH26|BPH18	None	None	data/Gene/Abstract/B/BPH26
BPH29	Os06g0107800	LOC_Os06g01860	data/Gene/Abstract/B/BPH29
Bph32	Os06g0123200	LOC_Os06g03240	data/Gene/Abstract/B/Bph32
Bph6	None	None	data/Gene/Abstract/B/Bph6
BPH9	None	None	data/Gene/Abstract/B/BPH9
Bphi008a	Os06g0493100	LOC_Os06g29730	data/Gene/Abstract/B/Bphi008a
BRD2|DIM|DWF1|LHDD10|LTBSG1	Os10g0397400	LOC_Os10g25780	data/Gene/Abstract/B/brd2
BRHIS1	Os08g0180300	LOC_Os08g08220	data/Gene/Abstract/B/BRHIS1
BRK1	Os07g0508500	LOC_Os07g32480	data/Gene/Abstract/B/BRK1
BS1	Os02g0250400	LOC_Os02g15230	data/Gene/Abstract/B/BS1
BSR-D1|ZFP36	Os03g0437200	LOC_Os03g32230	data/Gene/Abstract/B/BSR-D1
BSR-K1	Os10g0548200	None	data/Gene/Abstract/B/BSR-K1
BSR1	Os09g0533600	LOC_Os09g36320	data/Gene/Abstract/B/BSR1
BTBN18	Os09g0266600	LOC_Os09g09370	data/Gene/Body/B/BTBN18
BU1|OsbHLH174	Os06g0226500	LOC_Os06g12210	data/Gene/Abstract/B/BU1
C3H12	Os01g0917400	LOC_Os01g68860	data/Gene/Abstract/C/C3H12
CAB2R	Os01g0600900	LOC_Os01g41710	data/Gene/Body/C/CAB2R
CAI1	Os10g0452300	LOC_Os10g31460	data/Gene/Body/C/CAI1
CAP1	Os02g0141300	LOC_Os02g04840	data/Gene/Abstract/C/CAP1
CAPIP1	Os06g0528300	LOC_Os06g33690	data/Gene/Body/C/CAPIP1
CCD1	Os06g0683400	LOC_Os06g46950	data/Gene/Abstract/C/CCD1
CCP1|DFO1|EMF1|OsEMF1	Os01g0229300	LOC_Os01g12890	data/Gene/Abstract/C/CCP1
cdc2Os-1|CDKA1	Os03g0118400	LOC_Os03g02680	data/Gene/Abstract/C/cdc2Os-1
cdc2Os-2|CDKA2	Os02g0123100	LOC_Os02g03060	data/Gene/Abstract/C/cdc2Os-2
CDKB1;1|CDKB1	Os01g0897000	LOC_Os01g67160	data/Gene/Abstract/C/CDKB1;1
CDKB2;1|cdc2Os3|CDKB2	Os08g0512600	LOC_Os08g40170	data/Gene/Abstract/C/CDKB2;1~cdc2Os3
CDSP32	Os07g0476900	LOC_Os07g29410	data/Gene/Body/C/CDSP32
CEBiP|OsCEBiP	Os03g0133400	LOC_Os03g04110	data/Gene/Abstract/C/CEBiP
CENH3	Os05g0489800	LOC_Os05g41080	data/Gene/Body/C/CENH3
CFL1	Os02g0516400	LOC_Os02g31140	data/Gene/Abstract/C/CFL1
CFO1|OsMADS32	Os01g0726400	LOC_Os01g52680	data/Gene/Abstract/C/CFO1~OsMADS32
